"B41851A9226M000","EPCOS","150","142.86","В наличии","21428.571428571"
"KNP100JB-73-51R","Yageo","270","180.95","В наличии","48857.142857143"
"SIT3485ESA","Sitcore","27","24.50","В наличии","661.608"
"MFR100JT-73-1M1","YAGEO","6","8.00","В наличии","48"
"Резистор 0603 3.12 kOhm 0,5%","YAGEO","97","1.46","В наличии","141.8625"
"KNP-1W-100RJ","Тайвань","1","17.00","В наличии","17.004"
"MFR100JT-73- 120R","Yageo","54","8.00","В наличии","432.216"
"RC0603JR-07330RL","Yageo","146","0.22","В наличии","32.704"
"ADR1399KHZ","Analog Devices","9","4440.00","В наличии","39960"
"HSMP-3820-TR1G","Broadcom","2000","139.42","В наличии","278833.28571429"
"XC3S400-4TQG144I","Xilinx","1","8442.72","В наличии","8442.72"
